LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Sosyal Tesis,Sosyal,024-Halic Sosyal Tesisleri,EYÜPSULTAN,28.957179,41.0282
Sosyal Tesis,Sosyal,024-Dragos Sosyal Tesisleri,KARTAL,29.146659,40.901284
Sosyal Tesis,Sosyal,024-Istinye Sosyal Tesisleri,SARIYER,29.054999,41.11476
Sosyal Tesis,Sosyal,024-Sultanbeyli Golet Sosyal Tesisleri,SULTANBEYLİ,29.276736,40.954095
Spor Tesisi,Spor,025-Avcilar Spor Kompleksi,AVCILAR,28.721574,40.99691
Spor Tesisi,Spor,025-Bayrampasa IBB Stadi ve Spor Tesisi,BAYRAMPAŞA,28.886847,41.064818
Spor Tesisi,Spor,025-Bayrampasa Spor Kompleksi,BAYRAMPAŞA,28.910331,41.044596
Spor Tesisi,Spor,025-IBB Beyoglu Stadi,BEYOĞLU,28.949284,41.055284
Spor Tesisi,Spor,025-Buyukcekmece Guzelce Tenis Kortu,BÜYÜKÇEKMECE,28.493941,41.0111
Spor Tesisi,Spor,025-Esenler IBB Stadi,ESENLER,28.879916,41.053893
Spor Tesisi,Spor,025-Esenler Spor Kompleksi,ESENLER,28.878994,41.053019
Spor Tesisi,Spor,025-Esenler Hakki Basar Spor Kompleksi,ESENLER,28.866389,41.04529
Spor Tesisi,Spor,025-Eyupsultan Yesilpinar Yuzme Havuzu,EYÜPSULTAN,28.925808,41.078683
Spor Tesisi,Spor,025-Fatih Spor Kompleksi,FATİH,28.93176,41.02556
Spor Tesisi,Spor,025-Yenikapi Bisiklet Dernegi,FATİH,28.940432,40.998968
Spor Tesisi,Spor,025-Yenikapi Spor Tesisleri,FATİH,28.940738,41.001423
Spor Tesisi,Spor,025-Gaziosmanpasa Barbaros Hayrettin Pasa Spor Kompleksi,GAZİOSMANPAŞA,28.898766,41.076545
Spor Tesisi,Spor,025-Bostanci Spor Tesisleri,KADIKÖY,29.08863,40.954044
Spor Tesisi,Spor,025-Kartal Hasan Dogan Spor Kompleksi,KARTAL,29.189967,40.892454
Spor Tesisi,Spor,025-Cemal Kamaci Spor Tesisleri,KAĞITHANE,28.959739,41.053278
Spor Tesisi,Spor,025-Yesilce Spor Kompleksi,KAĞITHANE,29.002046,41.094578
Spor Tesisi,Spor,025-Maltepe Spor Tesisleri,MALTEPE,29.111306,40.936238
Spor Tesisi,Spor,025-Sancaktepe Taha Akgul Spor Kompleksi,SANCAKTEPE,29.233057,40.978484
Spor Tesisi,Spor,025-Sancaktepe Yenidogan Yuzme Havuzu,SANCAKTEPE,29.245335,41.015681
Spor Tesisi,Spor,025-Sultanbeyli Golet Spor Tesisleri,SULTANBEYLİ,29.274908,40.949935
Spor Tesisi,Spor,025-Silivri Mujdat Gursu Spor Tesisleri,SİLİVRİ,28.259281,41.087402
Spor Tesisi,Spor,025-Tuzla Sahil Spor Tesisleri,TUZLA,29.310212,40.812932
Spor Tesisi,Spor,025-Dudullu Spor Tesisi,ÜMRANİYE,29.162854,41.012238
Spor Tesisi,Spor,025-Haldun Alagas Spor Salonu,ÜMRANİYE,29.104731,41.024958
Spor Tesisi,Spor,025-Umraniye Cakmak Yuzme Havuzu,ÜMRANİYE,29.124733,41.021309
Spor Tesisi,Spor,025-Umraniye Yesilvadi Spor Tesisi,ÜMRANİYE,29.127969,41.02858
Tramvay Istasyonu,Istasyon,METRO T1-BAGCILAR,BAĞCILAR,28.860657,41.03274
Tramvay Istasyonu,Istasyon,METRO T1-FINDIKLI,BEYOĞLU,28.989436,41.031482
Tramvay Istasyonu,Istasyon,METRO T1-KABATAS,BEYOĞLU,28.992646,41.034326
Tramvay Istasyonu,Istasyon,METRO T1-KARAKOY,BEYOĞLU,28.974782,41.022246
Tramvay Istasyonu,Istasyon,METRO T1-TOPHANE,BEYOĞLU,28.980616,41.026892
Tramvay Istasyonu,Istasyon,METRO T1-AKSARAY,FATİH,28.953944,41.009543
Tramvay Istasyonu,Istasyon,METRO T1-CAPA,FATİH,28.933466,41.015149
Tramvay Istasyonu,Istasyon,METRO T1-FINDIKZADE,FATİH,28.940269,41.011806
Tramvay Istasyonu,Istasyon,METRO T1-HASEKI,FATİH,28.943146,41.010955
Tramvay Istasyonu,Istasyon,METRO T1-LALELI,FATİH,28.959765,41.009561
Tramvay Istasyonu,Istasyon,METRO T1-SULTANAHMET,FATİH,28.975497,41.0081
Tramvay Istasyonu,Istasyon,METRO T1-YUSUFPASA,FATİH,28.946583,41.0101
Tramvay Istasyonu,Istasyon,METRO T1-PAZARTEKKE,FATİH,28.92684,41.018475
Tramvay Istasyonu,Istasyon,METRO T1-AKINCILAR,GÜNGÖREN,28.871113,41.017393
Tramvay Istasyonu,Istasyon,METRO T1-GUNGOREN,GÜNGÖREN,28.877219,41.015526
Tramvay Istasyonu,Istasyon,METRO T1-MERTER,GÜNGÖREN,28.88074,41.011789
Tramvay Istasyonu,Istasyon,METRO T1-YAVUZSELIM,GÜNGÖREN,28.863745,41.023715
Tramvay Istasyonu,Istasyon,METRO T1-CEVIZLIBAG,ZEYTİNBURNU,28.9119,41.016042
Tramvay Istasyonu,Istasyon,METRO T1-MITHATPASA,ZEYTİNBURNU,28.902215,41.003535
Turistik Mekan,Turistik,028-Cemberlitas Serefiye Sarnici,FATİH,28.972356,41.007284
Turistik Mekan,Turistik,028-Eminonu Misir Carsisi,FATİH,28.971066,41.016151
Turistik Mekan,Turistik,056-Emirgan Korusu Sari Kosk,SARIYER,29.053605,41.107864
Turistik Mekan,Turistik,056-Emirgan Korusu Beyaz Kosk,SARIYER,29.052953,41.109309
Yesil Alan,Koru,030-Beykoz Korusu Park ve Bahceler Sefligi,BEYKOZ,29.098574,41.133158
Yesil Alan,Koru,030-Beylikduzu Yakuplu Korusu,BEYLİKDÜZÜ,28.668433,41.005364
Yesil Alan,Koru,030-Kemerburgaz Kent Ormani,EYÜPSULTAN,28.88337,41.162284
Yesil Alan,Koru,030-Gozdagi Korusu,PENDİK,29.252024,40.891037
Yesil Alan,Koru,030-Sancaktepe Orman Parki,SANCAKTEPE,29.218902,40.975377
Yesil Alan,Koru,030-Emirgan Korusu,SARIYER,29.053011,41.108199
Yesil Alan,Koru,030-Fethipasa Korusu,ÜSKÜDAR,29.027314,41.032534
Yesil Alan,Park,031-Florya Sosyal Tesisleri Parki,BAKIRKÖY,28.807347,40.960824
Yesil Alan,Park,031-Esenler Millet Bahcesi,ESENLER,28.878257,41.06102
Yesil Alan,Park,031-Sarachane Anit Parki,FATİH,28.954114,41.015525
Yesil Alan,Park,031-Goztepe 60.Yil Parki,KADIKÖY,29.05786,40.969954
Yesil Alan,Park,031-Kucukcekmece Golu Sahili,KÜÇÜKÇEKMECE,28.767776,41.001919
Yesil Alan,Park,031-Kucukcekmece Selcuklu Parki,KÜÇÜKÇEKMECE,28.796248,41.044773
Yesil Alan,Park,031-Bogazici Imar Mudurlugu Bahce,SARIYER,29.026435,41.135165
Yesil Alan,ParkBahceler,032-Basaksehir Park ve Bahceler,BAŞAKŞEHİR,28.803974,41.108465
